"object link","text"
"https://pec.ac.in/sites/default/files/uploads/minutes_senate__53_26-6-13.pdf","Download Minutes"
"https://pec.ac.in/sites/default/files/uploads/minutes_senate__52_18-6-13.pdf","Download Minutes"
"https://pec.ac.in/sites/default/files/uploads/minutes_senate__51_8-1-13.pdf","Download Minutes"
"https://pec.ac.in/sites/default/files/uploads/office_order_daa_19-12-19%20%287%29.pdf","Click Here to Download"
"https://pec.ac.in/sites/default/files/uploads/office_order_daa_19-12-19%20%2810%29.pdf","Click Here to Download"
"https://pec.ac.in/sites/default/files/uploads/office_order_daa_19-12-19%20%289%29.pdf","Click Here to Download"
"https://pec.ac.in/sites/default/files/uploads/office_order_daa_19-12-19%20%281%29.pdf","Click Here to Download"
"https://pec.ac.in/sites/default/files/uploads/office_order_daa_19-12-19%20%286%29.pdf","Click Here to Download"
"https://pec.ac.in/sites/default/files/uploads/office_order_daa_19-12-19%20%285%29.pdf","Click Here to Download"
"https://pec.ac.in/sites/default/files/uploads/office_order_daa_19-12-19%20%288%29.pdf","Click Here to Download"
"https://pec.ac.in/sites/default/files/uploads/office_order_daa_19-12-19%20%283%29.pdf","Click Here to Download"
"https://pec.ac.in/sites/default/files/uploads/office_order_daa_19-12-19%20%284%29.pdf","Click Here to Download"
"https://pec.ac.in/sites/default/files/uploads/office_order_daa_19-12-19%20%282%29.pdf","Click Here to Download"
"https://pec.ac.in/sites/default/files/uploads/ss_17-18.pdf","Click Here to Download"
"https://pec.ac.in/sites/default/files/uploads/ss_16-17.pdf","Click Here to Download"
"https://pec.ac.in/sites/default/files/uploads/ss_15-16.pdf","Click Here to Download"
"https://pec.ac.in/sites/default/files/uploads/ss_14-15.pdf","Click Here to Download"
"https://pec.ac.in/sites/default/files/uploads/pec_guidelined_internship_2018_revised.pdf","Guidelines for Internship Training (.pdf)"
"https://pec.ac.in/sites/default/files/uploads/guidelines_training_internship_prior_2014.pdf","Guidelines for Internship Training (.pdf) (2012-14)"
"https://pec.ac.in/sites/default/files/uploads/BE_rules_2014.pdf","BE Rules effective from 2014 Onwards"
"https://pec.ac.in/sites/default/files/uploads/industrial_visit_guidelines_ug.pdf","Performa for Industrial Tour for B.Tech 2nd Year Students"
"https://pec.ac.in/sites/default/files/uploads/ME_rules_2014.pdf","ME Rules effective from 2014 Onwards"
"https://pec.ac.in/sites/default/files/uploads/industrial_visit_guidelines_mtech.pdf","M.Tech. Industrial Visit Guidelines"
"https://pec.ac.in/sites/default/files/uploads/daa_notification_10-2-2020.pdf","The charges for the various documents issued by the Office of Dean Academic Affairs are revised with immediate effect."
"https://pec.ac.in/sites/default/files/uploads/minutes_iqac_22-7-19.pdf","Download Minutes"
"https://pec.ac.in/sites/default/files/uploads/minutes_iqac_8-4-19.pdf","Download Minutes"
"https://pec.ac.in/sites/default/files/uploads/B_Tech_Cut_Off_2018.pdf","2018"
"https://pec.ac.in/sites/default/files/uploads/B_Tech_Cut_off_2019.pdf","2019"
"https://pec.ac.in/sites/default/files/uploads/mtech_sid_2021.pdf","List of SIDs for M.Tech. 1st Year Students Admitted for Session 2020-2021"
"https://pec.ac.in/sites/default/files/uploads/Registration%20Process.pdf","Registration Process for Newly Admitted Students"
"https://pec.ac.in/sites/default/files/uploads/Undertaking.docx","Undertaking"
"https://pec.ac.in/sites/default/files/uploads/academic%20calendar_mtech_20-21.pdf","Academic Calendar for Newly admitted M.Tech. students"
"https://pec.ac.in/sites/default/files/uploads/Notice%28Panel%20Evaluation%20Industrial%20Internship%29.pdf","Panel for the evaluation of Internship (Dated: 06.07.2020)"
"https://pec.ac.in/sites/default/files/uploads/capstone_project_2019_updated_0.xlsx","Capstone Projects (Batch 2015-19)"
